,hlasy abs,hlasy procenta,mandat,navrhujici strana,politicka prislusnost,poradi ve strane,poradi zvoleni,prijmeni jmeno,rok,strana cislo,strana nazev,tituly,vek
920,330,353.0,0,SPOZ,BEZPP,6,,Hanzlová Lenka,2010,11,Strana Práv Občanů ZEMANOVCI,Mgr. ,48
921,931,213.0,0,SOS,SOS,23,,Havelka Jiří,2010,9,SOS - Liberecký zastupitel,,40
922,983,225.0,0,SOS,BEZPP,21,,Havlová Jana,2010,9,SOS - Liberecký zastupitel,,53
923,6 135,244.0,0,NK,BEZPP,20,10,Hejkalová Věra,2010,2,Změna pro Liberec,,61
924,301,322.0,0,SPOZ,BEZPP,7,,Hejral Vladimír,2010,11,Strana Práv Občanů ZEMANOVCI,,57
925,4 337,265.0,0,NK,SZ,23,17,Helšusová Tereza,2010,12,Liberec občanům,MgA. ,32
926,5 631,224.0,0,NK,BEZPP,35,25,Henych Petr,2010,2,Změna pro Liberec,Ing. ,49
927,4 985,230.0,0,ODS,ODS,37,29,Hergesell Vladimír,2010,3,Občanská demokratická strana,PaedDr. ,65
928,6 190,246.0,0,NK,BEZPP,21,11,Hlava Stanislav,2010,2,Změna pro Liberec,,48
929,6 664,265.0,0,SZ,SZ,15,5,Horáček Daniel,2010,2,Změna pro Liberec,,38
930,996,209.0,0,DRS,DRS,23,,Horáková Eva,2010,7,Demokratická regionální strana,,52
931,2 041,230.0,0,VV,VV,30,27,Hornová Harasová Ludmila,2010,6,Věci veřejné,,48
932,922,194.0,0,DRS,BEZPP,39,,Hoření Karina,2010,7,Demokratická regionální strana,Bc. ,25
933,1 645,346.0,0,DRS,DRS,7,,Hoření Vladimíra,2010,7,Demokratická regionální strana,Mgr. ,56
934,1 110,233.0,0,DRS,BEZPP,13,,Hottková Šárka,2010,7,Demokratická regionální strana,,32
935,3 262,199.0,0,NK,BEZPP,37,31,Hovorka Vít,2010,12,Liberec občanům,Ing. ,34
936,7 153,284.0,1,NK,BEZPP,6,8,Hrbková Karolína,2010,2,Změna pro Liberec,Ing. ,29
937,4 752,291.0,0,NK,BEZPP,6,2,Hron Michal,2010,12,Liberec občanům,RNDr. ,61
938,5 620,274.0,1,ČSSD,ČSSD,6,6,Hruša František,2010,8,Česká str.sociálně demokrat.,Ing. ,61
939,2 305,260.0,0,VV,VV,9,6,Hurych Ladislav,2010,6,Věci veřejné,,43
940,2 259,268.0,0,KSČM,BEZPP,9,6,Hýbnerová Helena,2010,13,Komunistická str.Čech a Moravy,,59
941,6 225,247.0,0,SZ,SZ,23,13,Chalupný František,2010,2,Změna pro Liberec,Ing. ,65
942,8 052,320.0,1,NK,BEZPP,7,4,Chvála Vladislav,2010,2,Změna pro Liberec,MUDr. ,58
943,7 050,280.0,1,SZ,SZ,9,9,Jadrný Josef,2010,2,Změna pro Liberec,,53
